28|,18|,19
28|,38|,22
28|,27|,21
28|,29|,18
7|,6|,21
7|,8|,21
7|,97|,18
7|,17|,12
6|,5|,15
6|,16|,19
6|,96|,25
6|,7|,16
5|,15|,12
5|,4|,23
5|,6|5,20
5|,95|5,27
15|,16|,21
15|,25|,23
15|,5|,21
15|,14|,20
77|76,87|77,10
76|75,77|76,10
76|66,66|76,11
66|67,56|66,10
66|76,67|,10
65|66,55|65,12
65|55,66|,10
65|55,75|65,10
55|45,56|,10
55|45,45|55,12
55|65,54|55,12
54|64,44|,10
54|55,55|,11
54|55,53|54,10
54|44,44|,10
54|44,53|54,11
64|54,74|64,10
64|63,74|64,12
74|64,75|,10
74|64,84|74,11
74|75,64|,12
72|71,71|72,10
71|81,70|,11
71|70,81|,14
71|72,72|71,12
71|61,70|,11
61|60,71|61,17
51|41,50|,16
51|41,41|51,10
51|50,61|,10
52|51,53|52,10
52|42,53|52,11
52|53,62|,11
52|53,42|52,13
53|54,43|,14
53|63,43|,10
53|63,52|53,10
53|52,43|,10
53|52,52|53,12
42|52,43|42,10
42|43,43|42,11
42|43,41|42,11
43|33,53|,10
43|33,44|43,12
43|42,53|,10
43|42,44|43,11
44|45,54|44,10
44|34,45|44,11
44|34,54|44,10
44|43,43|,10
44|43,45|44,14
44|43,34|44,11
45|55,55|45,12
45|44,55|45,13
46|45,45|,11
46|36,36|46,10
36|46,26|,10
37|38,27|,10
37|38,38|37,10
37|47,38|37,10
38|39,37|38,16
38|37,39|38,12
38|37,48|38,10
48|38,38|,10
48|38,49|48,13
48|58,58|48,10
48|47,47|,11
49|39,40|,10
49|39,59|49,10
49|48,59|49,13
49|59,59|49,12
59|49,50|59,12
59|49,58|59,12
59|58,69|59,13
59|50,50|59,12
59|69,58|59,11
69|60,60|,12
69|59,68|,12
69|59,59|69,11
68|58,67|,14
68|67,58|68,10
67|57,57|,12
78|79,68|,11
56|57,57|56,12
56|66,55|,12
57|47,67|57,11
57|56,56|57,10
57|58,47|,11
58|48,59|58,11
58|59,48|58,11
58|59,57|58,10
58|68,68|58,10
33|23,43|33,15
33|23,23|33,10
33|32,23|33,10
33|32,32|33,11
33|34,23|33,11
33|43,34|,11
34|24,44|34,11
34|24,24|34,10
34|44,33|34,11
24|23,34|24,10
24|34,34|24,12
23|22,33|23,10
23|33,33|23,13
22|32,21|,10
22|12,32|,11
32|33,22|32,10
32|33,33|32,12
32|31,33|32,12
13|12,12|,10
14|13,15|,11
4|94,5|,10
3|4,2|3,11
3|2,2|3,10
3|93,93|,10
93|94,94|93,12
93|83,3|93,11
83|84,82|,13
92|91,2|,12
2|12,92|,10
2|3,3|2,12
82|81,81|82,14
12|11,22|12,10
11|1,1|,13
11|1,21|11,15
11|10,21|11,13
50|59,60|,10
50|59,59|50,11
75|85,65|,11
75|85,74|75,10
75|65,85|,11
85|95,84|,11
85|95,75|85,10
85|86,75|85,10
86|76,85|86,11
86|85,87|86,11
87|86,86|,10
87|77,86|,13
98|88,8|,10
99|90,90|99,10
9|8,8|,12
19|18,9|,13
10|11,0|,10
1|0,11|1,19
1|91,0|,10
21|20,31|,18
21|11,20|,15
21|11,31|,11
21|31,31|,12
31|30,41|31,18
41|51,51|41,10
41|42,40|,10
41|31,31|,10
41|40,51|41,17
81|82,82|81,13
81|82,91|81,11
81|80,91|81,15
63|64,64|63,10
63|64,53|63,10
63|53,64|63,10
90|99,91|90,10
79|69,69|,11
88|78,98|88,11
60|70,70|,10
30|40,20|,10
84|74,83|84,10
18|8,28|,10
6|5,96|,10
5|95,95|5,10
39|38,30|,10
39|49,49|39,12
39|30,49|39,10
91|90,1|91,19
91|81,81|,13
91|81,92|91,11
95|5,85|95,13
94|95,93|94,10
94|93,95|,10
